"id","question","supplier","category","rawSpec","target","predicted","abs_pct_error","target_confidence","price_pick_method","notes","error_reason"
"q_043","深孔钻削，钻5mm直径的通孔，深度约25mm","常州唐北工具有限公司","3D钻头（金鹭材料） 5D钻头（金鹭材料）","1.5-1.6","6","20.02","2.336667","low","array_first_low_confidence","数组价格语义不明确，需要人工复核",""
"q_039","钻一个M4的台阶孔，180°沉头角度","常州欧成精密工具有限公司","180°台阶钻","4.5*18H*8*20H*D8*75L-M4*180°","126","299.2","1.374603","high","array_single","",""
"q_008","常州欧成精密工具有限公司的M3 180°台阶钻报价是多少？","常州欧成精密工具有限公司","180°台阶钻","3.4*13H*6.5*15H*6.5D*65L-M3*180°","162","299.2","0.846914","high","array_single","",""
"q_051","纯陶瓷铣刀加工，D6*50，用于高温合金","镇江新区大港宏峰工具厂","55º钨钢铣刀  古铜色涂层","6*50","59.3","106.25","0.791737","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_011","常州市京锋工具有限公司的D6 2刃键槽铣刀报价是多少？","常州市京锋工具有限公司","2刃键槽铣刀","Φ6*15*6*50L","39","69.32","0.777436","high","number_direct","",""
"q_040","在铝合金上铣键槽，槽宽6mm，深度15mm，总长50mm，2刃","常州市京锋工具有限公司","2刃键槽铣刀","Φ6*15*6*50L","39","65.86","0.688718","high","number_direct","",""
"q_047","铣削模具钢，需要1/4英寸的4刃铣刀","常州欧成精密工具有限公司","数控英制4刃铣刀","1/16*1/4*1/8*1-1/2*4F","15","22.47","0.498","high","array_single","",""
"q_012","常州市京锋工具有限公司的R1*D6 内R铣刀(钢用)报价是多少？","常州市京锋工具有限公司","4刃内R铣刀","R1*D6*50L*4T 钢用","55","81.41","0.480182","high","number_direct","",""
"q_041","内R角加工，R1*D6，钢件用","常州市京锋工具有限公司","4刃内R铣刀","R1*D6*50L*4T 钢用","55","81.41","0.480182","high","number_direct","",""
"q_028","常州欧成精密工具有限公司的1/2英寸英制球刀报价是多少？","常州欧成精密工具有限公司","数控英制球刀","1/2*1-1/4*1/2*3*4F","180","266.2","0.478889","high","array_single","",""
"q_030","镇江新区大港宏峰工具厂的R6*D12 四刃球刀 55°报价是多少？","镇江新区大港宏峰工具厂","四刃球刀","R6*24*12D*100L*4T","517.99","711.97","0.374486","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_050","高效率粗加工钢件，需要D12动态铣刀，总长75mm","常州市岚钨合金有限公司","黑灰动态铣","D12*75L","188.9","255.05","0.350185","high","number_direct","",""
"q_018","镇江新区大港宏峰工具厂的D6 55°定点钻报价是多少？","镇江新区大港宏峰工具厂","55度定点钻","6*50","75.06","51.95","0.307887","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_057","需要一把55°螺旋角的钨钢圆鼻刀，8mm直径，100mm总长，古铜色涂层","常州市岚钨合金有限公司","四刃（古铜）","D8*60L","55.6","38.5","0.307554","high","number_direct","",""
"q_013","常州市京锋工具有限公司的D6 3刃铝用铣刀报价是多少？","常州市京锋工具有限公司","3刃铝用铣刀","Φ6*18*6*50L*3T","35","45.31","0.294571","high","number_direct","",""
"q_019","镇江新区大港宏峰工具厂的D10 55°粗皮刀报价是多少？","镇江新区大港宏峰工具厂","55度粗皮刀","10*100","446.06","576.51","0.292449","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_065","需要一支D4*50的纯陶瓷铣刀，用于高温合金","镇江新区大港宏峰工具厂","纯陶瓷铣刀","4*50","32.5","41.8","0.286154","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_023","常州唐北工具有限公司的5mm 3D钻头报价是多少？","常州唐北工具有限公司","3D钻头（金鹭材料） 5D钻头（金鹭材料）","4.8-6","28","20.02","0.285","low","array_first_low_confidence","数组价格语义不明确，需要人工复核",""
"q_014","常州唐北工具有限公司的D6 AK铝用高光刀报价是多少？","常州唐北工具有限公司","AK铝用高光刀（适用材料：铝合金高光镜面，6系7系铝）","6*50","66.6","48.13","0.277327","high","array_single","",""
"q_036","我要加工6系铝合金，做一个高光镜面效果，刀具直径6mm，总长50mm","常州唐北工具有限公司","AK铝用高光刀（适用材料：铝合金高光镜面，6系7系铝）","6*50","66.6","48.13","0.277327","high","array_single","",""
"q_033","镇江新区大港宏峰工具厂的D6 UA不涂层光刀报价是多少？","镇江新区大港宏峰工具厂","UA系列（不涂层光刀）","6*18*6*50*3T","78.16","57.26","0.2674","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_056","铝件高光加工，6系铝合金，D12*75，要求镜面效果","常州唐北工具有限公司","AK铝用高光刀（适用材料：铝合金高光镜面，6系7系铝）","11-12*75","213","157.54","0.260376","high","array_single","",""
"q_045","不锈钢加工，需要65°螺旋角纳米蓝涂层的D8平刀，75mm总长","镇江新区大港宏峰工具厂","65°钨钢铣刀　纳米蓝涂层","8*60","219.8","276.82","0.259418","high","object_keyword_match","",""
"q_016","常州欧成精密工具有限公司的1/4英寸4刃铣刀报价是多少？","常州欧成精密工具有限公司","数控英制4刃铣刀","1/4*3/4*1/4*2-1/2*4F","56","70.09","0.251607","high","array_single","",""
"q_054","三刃铝用铣刀，D10*30*10*75L","常州市京锋工具有限公司","3刃铝用铣刀","Φ10*30*10*75L*3T","130","97.71","0.248385","high","number_direct","",""
"q_035","镇江新区大港宏峰工具厂的D10 55°钨钢圆棒报价是多少？","镇江新区大港宏峰工具厂","55°圆棒","10*100","317.7","246.79","0.223198","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_064","D12*75的G系列黑铣刀，岚钨合金，价格多少","常州市岚钨合金有限公司","G系列黑","D12*75L","171.2","133.83","0.218283","high","number_direct","",""
"q_063","D6*150 DLC七彩涂层铣刀，UA+系列，加工铝合金","镇江新区大港宏峰工具厂","UA+系列（DLC七彩涂层）","5*15*6*50*3T","84.98","68.17","0.197811","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_053","D6*120 55度加长铣刀，深腔加工","镇江新区大港宏峰工具厂","55度加长铣刀","D6*120","210.58","250.79","0.190949","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_044","6系铝合金高光加工，用D10铣刀，75mm总长","常州唐北工具有限公司","AK铝用高光刀（适用材料：铝合金高光镜面，6系7系铝）","4*100","38.2","31.04","0.187435","high","array_single","",""
"q_060","钻一个M8×1.25的螺纹底孔，用台阶钻一次成型，90°沉头","常州欧成精密工具有限公司","180°台阶钻","9*28H*14*28H*D12*100L-M8*180°","368","299.2","0.186957","high","array_single","",""
"q_024","镇江新区大港宏峰工具厂的D6纯陶瓷铣刀报价是多少？","镇江新区大港宏峰工具厂","纯陶瓷铣刀","6*50","49.21","58.34","0.185531","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_034","常州唐北工具有限公司的R0.25 T型刀报价是多少？","常州唐北工具有限公司","微小径深沟平刀/球刀 T型刀","0.5/R0.25""(2/3/4/6/8)","24","28.32","0.18","high","array_single","",""
"q_037","要铣一个U形槽，材料6系铝，槽宽8mm，总长60mm","常州市京锋工具有限公司","七彩U槽铝用刀","Φ8*24*8*60L","63","51.81","0.177619","high","number_direct","",""
"q_009","常州欧成精密工具有限公司的8.2-9.1数控直柄钻报价是多少？","常州欧成精密工具有限公司","数控直柄钻","8.2-9.1*40*70L","96","112.22","0.168958","high","array_single","",""
"q_059","粗加工钢件表面，D20*100，55°粗皮刀","镇江新区大港宏峰工具厂","55度粗皮刀","20*100","1415.24","1180.72","0.16571","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_002","常州市岚钨合金有限公司的D6四刃古铜铣刀报价是多少？","常州市岚钨合金有限公司","四刃（古铜）","D6*50L","26.7","30.77","0.152434","high","number_direct","",""
"q_058","做深腔加工，需要一把D10*150mm的加长铣刀，55°","镇江新区大港宏峰工具厂","55度加长铣刀","D10*120","481.71","413.82","0.140935","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_061","需要一支D8*60的直柄立铣刀，60°黑纳米涂层，加工模具钢","镇江新区大港宏峰工具厂","60°钨钢铣刀 黑纳米涂层","8*60","195.93","223.14","0.138876","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_029","常州市京锋工具有限公司的D8 3刃铝用加长铣刀报价是多少？","常州市京锋工具有限公司","3刃铝用铣刀（加长款）","Φ8*35*8*100L 加长款","96","84.14","0.123542","high","number_direct","",""
"q_021","镇江新区大港宏峰工具厂的D6 UA+ DLC七彩铣刀报价是多少？","镇江新区大港宏峰工具厂","UA+系列（DLC七彩涂层）","6*18*6*50*3T","84.98","94.42","0.111085","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_007","常州唐北工具有限公司的D6动态铣刀4刃报价是多少？","常州唐北工具有限公司","高效型动态铣刀（二次钝化+抛光 (AP 涂层)U 槽) 65°铣刀(45度螺旋角)蓝纳米/黑彩 K系列铣刀","D6*25*75L*4F","73.1","80.64","0.103146","low","array_first_low_confidence","数组价格语义不明确，需要人工复核",""
"q_027","镇江新区大港宏峰工具厂的D12 68°纳米古铜平刀/球刀报价是多少？","镇江新区大港宏峰工具厂","68°钨钢铣刀　纳米古铜涂层","12*100","728","793.75","0.090316","high","object_keyword_match","",""
"q_062","香槟金涂层的D10*75 4刃铣刀，一般钢件加工","镇江新区大港宏峰工具厂","SS40 系列（香槟金涂层）","4*10*4*50*4T","60","54.65","0.089167","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_052","55度粗皮刀，D8*75，钢件开粗","镇江新区大港宏峰工具厂","55º钨钢铣刀  古铜色涂层","8*60","114.04","123.81","0.085672","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_042","需要一支D8*60L的铝用铣刀，七彩涂层","常州市岚钨合金有限公司","七彩铝用","D8*60L","56.7","52.57","0.07284","high","number_direct","",""
"q_006","南京驰恒机械刀具有限公司的4mm铝用单刃铣刀(不含税)报价是多少？","南京驰恒机械刀具有限公司","铝用单刃铣刀","4*12*45","20.5","21.98","0.072195","high","object_keyword_match","",""
"q_049","加工铝合金需要一把单刃铣刀，4mm柄，刃长12mm","南京驰恒机械刀具有限公司","铝用单刃铣刀","4*12*45","20.5","21.98","0.072195","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_032","镇江新区大港宏峰工具厂的D4 SS35香槟金铣刀报价是多少？","镇江新区大港宏峰工具厂","SS35 系列（香槟金涂层）","4*16*4*50*4T","78.5","73","0.070064","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_004","镇江新区大港宏峰工具厂的6mm*75 55°古铜涂层球刀报价是多少？","镇江新区大港宏峰工具厂","55º钨钢铣刀  古铜色涂层","6*75","105","99.68","0.050667","high","object_keyword_match","",""
"q_010","常州欧成精密工具有限公司的7-8mm铰刀H7报价是多少？","常州欧成精密工具有限公司","数控直柄铰刀 直槽/螺旋","7.1-8.0*50*100L*6T H7","106","111.06","0.047736","high","array_single","",""
"q_031","镇江新区大港宏峰工具厂的D8 UP+黑纳米铣刀报价是多少？","镇江新区大港宏峰工具厂","UP+系列（黑纳米涂层）","8*20*8*60*4T","172.96","165.23","0.044692","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_026","镇江新区大港宏峰工具厂的D8 65°纳米蓝平刀/球刀报价是多少？","镇江新区大港宏峰工具厂","65°钨钢铣刀　纳米蓝涂层","8*75","266.33","274.76","0.031652","high","object_keyword_match","",""
"q_020","镇江新区大港宏峰工具厂的D10 60°黑纳米平刀/球刀报价是多少？","镇江新区大港宏峰工具厂","60°钨钢铣刀 黑纳米涂层","10*75","332.08","340.29","0.024723","high","object_keyword_match","",""
"q_001","常州市京锋工具有限公司的6mm七彩U槽铝用刀报价是多少？","常州市京锋工具有限公司","七彩U槽铝用刀","Φ6*25*6*75L","48","46.98","0.02125","high","number_direct","",""
"q_025","镇江新区大港宏峰工具厂的D8*120 55°加长铣刀报价是多少？","镇江新区大港宏峰工具厂","55度加长铣刀","D8*120","333.03","336.75","0.01117","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_038","加工钢件，需要一把D4*50L的四刃铣刀，古铜色涂层","常州市岚钨合金有限公司","四刃（古铜）","D1*D4*50L","12.3","12.17","0.010569","high","number_direct","",""
"q_017","常州市岚钨合金有限公司的D10 G系列黑铣刀报价是多少？","常州市岚钨合金有限公司","G系列黑","D10*75L","118.9","117.79","0.009336","high","number_direct","",""
"q_015","常州唐北工具有限公司的D4四刃球刀H7报价是多少？","常州唐北工具有限公司","四刃球刀 螺旋铰刀公差H7","D4*25L*50L*4F","27.5","27.26","0.008727","high","array_single","",""
"q_055","D8钨钢圆棒，100mm长","镇江新区大港宏峰工具厂","55°圆棒","8*100","207.5","208.92","0.006843","medium","object_min_fallback","多价格字段未明确，取最低价",""
"q_005","镇江天顺精密工具有限公司的3.175柄 DLC单刃螺旋铣刀报价是多少？","镇江天顺精密工具有限公司","DLC涂层单刃螺旋铣刀","3.175*3.175*12*38","13","13.08","0.006154","high","number_direct","",""
"q_048","DLC涂层的单刃螺旋铣刀，柄径3.175mm，刃径1.2mm","镇江天顺精密工具有限公司","DLC涂层单刃螺旋铣刀","3.175*1.2*3*38","13","13.08","0.006154","high","number_direct","",""
"q_003","镇江新区大港宏峰工具厂的6mm*75 55°古铜涂层平刀报价是多少？","镇江新区大港宏峰工具厂","55º钨钢铣刀  古铜色涂层","6*75","101","101.37","0.003663","high","object_keyword_match","",""
"q_022","常州市京锋工具有限公司的MIR Φ4车刀A60报价是多少？","常州市京锋工具有限公司","微型车刀/镗刀","MIR Φ4 A60 L15","43","43","0","high","number_direct","",""
"q_046","D4微型车刀，60°刀尖角，刃长15mm","常州市京锋工具有限公司","微型车刀/镗刀","MIR Φ4 A60 L15","43","43","0","high","number_direct","",""
