"question","supplier","category","rawSpec","answer_price","error_reason"
"D4*50L规格有哪些供应商和品类？最便宜的选型是？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"宏峰D8*60L的5种角度涂层铣刀（55°/58°/60°/65°/68°）分别是什么价？哪个最便宜？","镇江新区大港宏峰工具厂","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"直柄钻头，欧成数控直柄钻(5.2-6.1) vs 宏峰直柄钻头(6.1-7.0)，谁便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"宏峰60°黑纳米涂层D8铣刀，不同总长(60/75/100/150)的价格梯度是怎样的？每加长一档贵多少？","镇江新区大港宏峰工具厂","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D8.0*L30规格的刀具，哪些供应商有报价？最便宜的是哪家？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D6*50L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D8*60L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D10*75L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D12*75L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D8*100L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D6*50L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D8*60L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D10*75L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D12*75L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D8*100L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"给我报个6mm的铣刀价格","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D10左右的古铜色铣刀多少钱？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"要一把钻头钻8mm的孔","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"最便宜的3mm铝用铣刀是哪家的？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"有没有Φ6*75的球刀？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D6.35的铣刀有没有报价？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
